column_id,table_id,column_name,data_type,sequence_number,constraint,default_value,is_pii
101,1,member_id,STRING,1,NULL,NULL,0
102,1,member_number,BIGINT,2,NULL,NULL,1
103,1,first_name,STRING,3,NULL,NULL,1
104,1,last_name,STRING,4,NULL,NULL,0
105,1,gender,STRING,5,NULL,NULL,0
106,1,dob,DATE,6,NULL,NULL,1
107,1,city,STRING,7,NULL,NULL,0
108,1,state,STRING,8,NULL,NULL,0
109,1,created_date,DATE,9,NULL,NULL,0
110,1,load_ts,TIMESTAMP,10,NULL,NULL,0
111,1,file_name,STRING,11,NULL,NULL,0
112,1,file_modification_time,DATE,12,NULL,NULL,0
201,2,enrollment_id,STRING,1,NULL,NULL,0
202,2,member_id,STRING,2,NULL,NULL,0
203,2,plan_id,STRING,3,NULL,NULL,0
204,2,enrollment_status,STRING,4,NULL,NULL,0
205,2,effective_date,DATE,5,NULL,NULL,0
206,2,termination_date,DATE,6,NULL,NULL,0
207,2,coverage_type,STRING,7,NULL,NULL,0
208,2,load_date,DATE,8,NULL,NULL,0
209,2,source_system,STRING,9,NULL,NULL,0
210,2,load_ts,TIMESTAMP,10,NULL,NULL,0
211,2,file_name,STRING,11,NULL,NULL,0
212,2,file_modification_time,DATE,12,NULL,NULL,0
301,3,provider_id,STRING,1,NULL,NULL,0
302,3,npi,BIGINT,2,NULL,NULL,0
303,3,provider_name,STRING,3,NULL,NULL,1
304,3,specialty,STRING,4,NULL,NULL,0
305,3,entity_type,STRING,5,NULL,NULL,0
306,3,city,STRING,6,NULL,NULL,0
307,3,state,STRING,7,NULL,NULL,0
308,3,active_flag,STRING,8,NULL,NULL,0
309,3,created_date,DATE,9,NULL,NULL,0
310,3,load_ts,TIMESTAMP,10,NULL,NULL,0
311,3,file_name,STRING,11,NULL,NULL,0
312,3,file_modification_time,DATE,12,NULL,NULL,0
401,4,contract_id,STRING,1,NULL,NULL,0
402,4,provider_id,STRING,2,NULL,NULL,0
403,4,contract_type,STRING,3,NULL,NULL,0
404,4,start_date,DATE,4,NULL,NULL,0
405,4,end_date,DATE,5,NULL,NULL,0
406,4,payment_model,STRING,6,NULL,NULL,0
407,4,status,STRING,7,NULL,NULL,0
408,4,load_date,DATE,8,NULL,NULL,0
409,4,load_ts,TIMESTAMP,9,NULL,NULL,0
410,4,file_name,STRING,10,NULL,NULL,0
411,4,file_modification_time,DATE,11,NULL,NULL,0
501,5,claim_id,STRING,1,NULL,NULL,0
502,5,claim_number,BIGINT,2,NULL,NULL,0
503,5,member_id,STRING,3,NULL,NULL,0
504,5,provider_id,STRING,4,NULL,NULL,0
505,5,claim_date,DATE,5,NULL,NULL,0
506,5,claim_status,STRING,6,NULL,NULL,0
507,5,total_amount,Double,7,NULL,NULL,0
508,5,paid_amount,Double,8,NULL,NULL,0
509,5,load_date,DATE,9,NULL,NULL,0
510,5,load_ts,TIMESTAMP,10,NULL,NULL,0
511,5,file_name,STRING,11,NULL,NULL,0
512,5,file_modification_time,DATE,12,NULL,NULL,0
601,6,claim_line_id,STRING,1,NULL,NULL,0
602,6,claim_id,STRING,2,NULL,NULL,0
603,6,procedure_code,STRING,3,NULL,NULL,0
604,6,diagnosis_code,STRING,4,NULL,NULL,1
605,6,line_amount,Double,5,NULL,NULL,0
606,6,units,INT,6,NULL,NULL,0
607,6,service_date,DATE,7,NULL,NULL,0
608,6,line_status,STRING,8,NULL,NULL,0
609,6,load_date,DATE,9,NULL,NULL,0
610,6,load_ts,TIMESTAMP,10,NULL,NULL,0
611,6,file_name,STRING,11,NULL,NULL,0
612,6,file_modification_time,DATE,12,NULL,NULL,0
701,7,encounter_id,STRING,1,NULL,NULL,0
702,7,member_id,STRING,2,NULL,NULL,0
703,7,provider_id,STRING,3,NULL,NULL,0
704,7,encounter_date,DATE,4,NULL,NULL,0
705,7,encounter_type,STRING,5,NULL,NULL,0
706,7,diagnosis_code,STRING,6,NULL,NULL,0
707,7,procedure_code,STRING,7,NULL,NULL,0
708,7,encounter_cost,Double,8,NULL,NULL,0
709,7,load_date,DATE,9,NULL,NULL,0
710,7,load_ts,TIMESTAMP,10,NULL,NULL,0
711,7,file_name,STRING,11,NULL,NULL,0
712,7,file_modification_time,DATE,12,NULL,NULL,0
801,8,payment_id,STRING,1,NULL,NULL,0
802,8,provider_id,STRING,2,NULL,NULL,0
803,8,payment_month,STRING,3,NULL,NULL,0
804,8,member_count,INT,4,NULL,NULL,0
805,8,rate_pmpm,Double,5,NULL,NULL,0
806,8,total_payment,Double,6,NULL,NULL,0
807,8,payment_status,STRING,7,NULL,NULL,0
808,8,load_date,DATE,8,NULL,NULL,0
809,8,load_ts,TIMESTAMP,9,NULL,NULL,0
810,8,file_name,STRING,10,NULL,NULL,0
811,8,file_modification_time,DATE,11,NULL,NULL,0
901,9,member_sk,BIGINT,1,NULL,NULL,0
902,9,member_id,STRING,2,NULL,NULL,0
903,9,member_number,BIGINT,3,NULL,NULL,0
904,9,first_name,STRING,4,NULL,NULL,0
905,9,last_name,STRING,5,NULL,NULL,0
906,9,gender,STRING,6,NULL,NULL,0
907,9,dob,DATE,7,NULL,NULL,0
908,9,city,STRING,8,NULL,NULL,0
909,9,state,STRING,9,NULL,NULL,0
910,9,plan_id,STRING,10,NULL,NULL,0
911,9,enrollment_status,STRING,11,NULL,NULL,0
912,9,effective_date,DATE,12,NULL,NULL,0
913,9,termination_date,DATE,13,NULL,NULL,0
914,9,file_name,STRING,14,NULL,NULL,0
915,9,file_modification_time,DATE,15,NULL,NULL,0
916,9,load_ts,TIMESTAMP,16,NULL,NULL,0
917,9,hash_col,STRING,17,NULL,NULL,0
918,9,start_date,DATE,18,NULL,NULL,0
919,9,end_date,DATE,19,NULL,NULL,0
920,9,is_current,STRING,20,NULL,NULL,0
1001,10,provider_sk,BIGINT,1,NULL,NULL,0
1002,10,provider_id,STRING,2,NULL,NULL,0
1003,10,npi,BIGINT,3,NULL,NULL,0
1004,10,provider_name,STRING,4,NULL,NULL,0
1005,10,specialty,STRING,5,NULL,NULL,0
1006,10,city,STRING,6,NULL,NULL,0
1007,10,state,STRING,7,NULL,NULL,0
1008,10,contract_type,STRING,8,NULL,NULL,0
1009,10,payment_model,STRING,9,NULL,NULL,0
1010,10,status,STRING,10,NULL,NULL,0
1011,10,file_name,STRING,11,NULL,NULL,0
1012,10,file_modification_time,DATE,12,NULL,NULL,0
1013,10,load_ts,TIMESTAMP,13,NULL,NULL,0
1014,10,hash_col,STRING,14,NULL,NULL,0
1015,10,start_date,DATE,15,NULL,NULL,0
1016,10,end_date,DATE,16,NULL,NULL,0
1017,10,is_current,STRING,17,NULL,NULL,0
1101,11,claim_id,STRING,1,NULL,NULL,0
1102,11,member_id,STRING,2,NULL,NULL,0
1103,11,provider_id,STRING,3,NULL,NULL,0
1104,11,claim_date,DATE,4,NULL,NULL,0
1105,11,line_number,INT,5,NULL,NULL,0
1106,11,procedure_code,STRING,6,NULL,NULL,0
1107,11,amount,DOUBLE,7,NULL,NULL,0
1108,11,file_name,STRING,8,NULL,NULL,0
1109,11,file_modification_time,DATE,9,NULL,NULL,0
1110,11,load_ts,TIMESTAMP,10,NULL,NULL,0
1201,12,encounter_id,STRING,1,NULL,NULL,0
1202,12,member_id,STRING,2,NULL,NULL,0
1203,12,provider_id,STRING,3,NULL,NULL,0
1204,12,encounter_date,DATE,4,NULL,NULL,0
1205,12,diagnosis_code,STRING,5,NULL,NULL,0
1206,12,file_name,STRING,6,NULL,NULL,0
1207,12,file_modification_time,DATE,7,NULL,NULL,0
1208,12,load_ts,TIMESTAMP,8,NULL,NULL,0
1301,13,payment_id,STRING,1,NULL,NULL,0
1302,13,provider_id,STRING,2,NULL,NULL,0
1303,13,payment_date,DATE,3,NULL,NULL,0
1304,13,amount,DOUBLE,4,NULL,NULL,0
1305,13,file_name,STRING,5,NULL,NULL,0
1306,13,file_modification_time,DATE,6,NULL,NULL,0
1307,13,load_ts,TIMESTAMP,7,NULL,NULL,0